gene_id	GO	description
gene=arc	GO:0070651	nonfunctional rRNA decay
gene=arc	GO:0030894	replisome
gene=arc	GO:0000839	Hrd1p ubiquitin ligase ERAD-L complex
gene=arc	GO:0016887	ATP hydrolysis activity
gene=arc	GO:0005634	nucleus
gene=arc	GO:0046034	ATP metabolic process
gene=arc	GO:1990171	SCF complex disassembly in response to cadmium stress
gene=arc	GO:0005829	cytosol
gene=arc	GO:0071630	nuclear protein quality control by the ubiquitin-proteasome system
gene=arc	GO:0005739	mitochondrion
gene=arc	GO:0031593	polyubiquitin modification-dependent protein binding
gene=sppA_2	GO:0008236	serine-type peptidase activity
gene=trxB	GO:0019430	removal of superoxide radicals
gene=trxB	GO:0004791	thioredoxin-disulfide reductase activity
gene=trxB	GO:0005737	cytoplasm
gene=comEC_1	GO:0016021	integral component of membrane
gene=comEC_1	GO:0005886	plasma membrane
gene=comEC_1	GO:0030420	establishment of competence for transformation
gene=prkC_3	GO:0004674	protein serine/threonine kinase activity
gene=prkC_3	GO:0005524	ATP binding
gene=prkC_3	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=prkC_3	GO:0106310	protein serine kinase activity
gene=xkdG	GO:0005576	extracellular region
gene=psaE	GO:0009538	photosystem I reaction center
gene=psaE	GO:0015979	photosynthesis
gene=psaE	GO:0031676	plasma membrane-derived thylakoid membrane
gene=rfbC	GO:0016854	racemase and epimerase activity
gene=rfbC	GO:0045226	extracellular polysaccharide biosynthetic process
gene=rfbC	GO:0046677	response to antibiotic
gene=rfbC	GO:0009103	lipopolysaccharide biosynthetic process
gene=rfbC	GO:0006974	cellular response to DNA damage stimulus
gene=rfbC	GO:0009243	O antigen biosynthetic process
gene=rfbC	GO:0009411	response to UV
gene=rfbC	GO:0033692	cellular polysaccharide biosynthetic process
gene=rfbC	GO:0019305	dTDP-rhamnose biosynthetic process
gene=rfbC	GO:0005829	cytosol
gene=rfbC	GO:0008830	dTDP-4-dehydrorhamnose 3,5-epimerase activity
gene=chp2	GO:0016021	integral component of membrane
gene=chp2	GO:0005618	cell wall
gene=chp2	GO:0005886	plasma membrane
gene=chp2	GO:0016746	acyltransferase activity
gene=chp2	GO:0006629	lipid metabolic process
gene=apr	GO:0046872	metal ion binding
gene=apr	GO:0004252	serine-type endopeptidase activity
gene=apr	GO:0005576	extracellular region
gene=apr	GO:0030435	sporulation resulting in formation of a cellular spore
protein=Riboflavin	GO:0008152	metabolic process
protein=Riboflavin	GO:0016798	hydrolase activity, acting on glycosyl bonds
gene=nusG	GO:0031564	transcription antitermination
gene=nusG	GO:0006353	DNA-templated transcription, termination
gene=nusG	GO:0032784	regulation of DNA-templated transcription, elongation
gene=nusG	GO:0006354	DNA-templated transcription, elongation
gene=nusG	GO:0005829	cytosol
gene=glpQ	GO:0098024	virus tail, fiber
gene=yokF	GO:0046872	metal ion binding
gene=yokF	GO:0005886	plasma membrane
gene=yokF	GO:0004518	nuclease activity
gene=yokF	GO:0004519	endonuclease activity
gene=yokF	GO:0003676	nucleic acid binding
gene=polB_2	GO:0046872	metal ion binding
gene=polB_2	GO:0008408	3'-5' exonuclease activity
gene=polB_2	GO:0006260	DNA replication
gene=polB_2	GO:0003677	DNA binding
gene=polB_2	GO:0039686	bidirectional double-stranded viral DNA replication
gene=polB_2	GO:0000166	nucleotide binding
gene=polB_2	GO:0003887	DNA-directed DNA polymerase activity
gene=cwlO	GO:0004222	metalloendopeptidase activity
gene=cwlO	GO:0000270	peptidoglycan metabolic process
gene=cwlO	GO:0008933	lytic transglycosylase activity
gene=cwlO	GO:0016020	membrane
gene=cwlO	GO:0016829	lyase activity
gene=acoC	GO:0004601	peroxidase activity
gene=grcA	GO:0003824	catalytic activity
gene=petF1	GO:0009055	electron transfer activity
gene=petF1	GO:0046872	metal ion binding
gene=petF1	GO:0051537	2 iron, 2 sulfur cluster binding
gene=lppP	GO:0005886	plasma membrane
gene=xerD	GO:0009037	tyrosine-based site-specific recombinase activity
gene=xerD	GO:0005737	cytoplasm
gene=xerD	GO:0007059	chromosome segregation
gene=xerD	GO:0006313	transposition, DNA-mediated
gene=xerD	GO:0007049	cell cycle
gene=xerD	GO:0003677	DNA binding
gene=xerD	GO:0051301	cell division
gene=sodC	GO:0046872	metal ion binding
gene=sodC	GO:0004784	superoxide dismutase activity
protein=N-acetylmuramoyl-L-alanine	GO:0004040	amidase activity
protein=N-acetylmuramoyl-L-alanine	GO:0005576	extracellular region
gene=sodC1	GO:0046872	metal ion binding
gene=sodC1	GO:0004784	superoxide dismutase activity
gene=sodC1	GO:0042597	periplasmic space
gene=ssuC	GO:0016021	integral component of membrane
gene=ssuC	GO:0022857	transmembrane transporter activity
gene=ssuC	GO:0005886	plasma membrane
gene=rpfE	GO:0005576	extracellular region
gene=rpfE	GO:0016787	hydrolase activity
gene=chiA1	GO:0008061	chitin binding
gene=chiA1	GO:0000272	polysaccharide catabolic process
gene=chiA1	GO:0005576	extracellular region
gene=chiA1	GO:0004568	chitinase activity
gene=chiA1	GO:0006032	chitin catabolic process
gene=chiA1	GO:0030246	carbohydrate binding
gene=nrdZ_1	GO:0046872	metal ion binding
gene=nrdZ_1	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdZ_1	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdZ_1	GO:0004519	endonuclease activity
gene=nrdZ_1	GO:0006260	DNA replication
gene=nrdZ_1	GO:0016539	intein-mediated protein splicing
gene=nrdZ_1	GO:0006314	intron homing
gene=hin_3	GO:0015074	DNA integration
gene=hin_3	GO:0000150	DNA strand exchange activity
gene=hin_3	GO:0003677	DNA binding
gene=ddrOC	GO:0003677	DNA binding
protein=Deoxyguanosine	GO:0005524	ATP binding
protein=Deoxyguanosine	GO:0004138	deoxyguanosine kinase activity
gene=yddM	GO:0003677	DNA binding
gene=rlmCD_2	GO:0006396	RNA processing
gene=rlmCD_2	GO:0008173	RNA methyltransferase activity
gene=algE7	GO:0046872	metal ion binding
gene=algE7	GO:0098024	virus tail, fiber
gene=algE7	GO:0098671	adhesion receptor-mediated virion attachment to host cell
gene=algE7	GO:0005524	ATP binding
gene=algE7	GO:0098994	disruption of host cell envelope during viral entry
gene=grxC	GO:0004362	glutathione-disulfide reductase (NADPH) activity
gene=grxC	GO:0097573	glutathione oxidoreductase activity
gene=grxC	GO:0009263	deoxyribonucleotide biosynthetic process
gene=ndhI	GO:0005506	iron ion binding
gene=ndhI	GO:0008137	NADH dehydrogenase (ubiquinone) activity
gene=ndhI	GO:0019684	photosynthesis, light reaction
gene=ndhI	GO:0031676	plasma membrane-derived thylakoid membrane
gene=ndhI	GO:0048038	quinone binding
gene=ndhI	GO:0051539	4 iron, 4 sulfur cluster binding
gene=yocH	GO:0019867	outer membrane
gene=yocH	GO:0005576	extracellular region
gene=yocH	GO:0009254	peptidoglycan turnover
gene=yocH	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
gene=nrdJ	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdJ	GO:0031419	cobalamin binding
gene=nrdJ	GO:0071897	DNA biosynthetic process
gene=nrdJ	GO:0006260	DNA replication
gene=nrdJ	GO:0005524	ATP binding
gene=ail	GO:0044384	host outer membrane
gene=ail	GO:0016021	integral component of membrane
gene=ail	GO:0009279	cell outer membrane
gene=tmpC	GO:0005886	plasma membrane
gene=rsr	GO:0046872	metal ion binding
gene=rsr	GO:0003723	RNA binding
gene=rsr	GO:1990904	ribonucleoprotein complex
gene=rsr	GO:0005737	cytoplasm
gene=mutS2	GO:0006298	mismatch repair
gene=mutS2	GO:0032136	adenine/cytosine mispair binding
gene=mutS2	GO:0003684	damaged DNA binding
gene=mutS2	GO:0032300	mismatch repair complex
gene=mutS2	GO:0005829	cytosol
gene=mutS2	GO:0008094	ATP-dependent activity, acting on DNA
gene=mutS2	GO:0005524	ATP binding
gene=polC_2	GO:0008408	3'-5' exonuclease activity
gene=polC_2	GO:0006261	DNA-templated DNA replication
gene=polC_2	GO:0005737	cytoplasm
gene=polC_2	GO:0003677	DNA binding
gene=polC_2	GO:0003887	DNA-directed DNA polymerase activity
gene=novJ	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
gene=novJ	GO:0043642	novobiocin biosynthetic process
gene=ydfZ	GO:0005829	cytosol
gene=spoIIID	GO:0030435	sporulation resulting in formation of a cellular spore
gene=spoIIID	GO:0003700	DNA-binding transcription factor activity
gene=spoIIID	GO:0003677	DNA binding
protein=PhoH-like	GO:0005829	cytosol
protein=PhoH-like	GO:0005524	ATP binding
gene=ywlC	GO:0000049	tRNA binding
gene=ywlC	GO:0005737	cytoplasm
gene=ywlC	GO:0061710	L-threonylcarbamoyladenylate synthase
gene=ywlC	GO:0003725	double-stranded RNA binding
gene=ywlC	GO:0006450	regulation of translational fidelity
gene=ywlC	GO:0002949	tRNA threonylcarbamoyladenosine modification
gene=ywlC	GO:0005524	ATP binding
gene=ywlC	GO:0016779	nucleotidyltransferase activity
gene=nrdE_1	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdE_1	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdE_1	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdE_1	GO:0006260	DNA replication
gene=nrdE_1	GO:0005524	ATP binding
gene=ndkA	GO:0046872	metal ion binding
gene=ndkA	GO:0006228	UTP biosynthetic process
gene=ndkA	GO:0005524	ATP binding
gene=ndkA	GO:0006183	GTP biosynthetic process
gene=ndkA	GO:0006241	CTP biosynthetic process
gene=ndkA	GO:0004550	nucleoside diphosphate kinase activity
gene=dnaB_2	GO:0036121	double-stranded DNA helicase activity
gene=dnaB_2	GO:0003723	RNA binding
gene=dnaB_2	GO:0000403	Y-form DNA binding
gene=dnaB_2	GO:0005634	nucleus
gene=dnaB_2	GO:0061749	forked DNA-dependent helicase activity
gene=dnaB_2	GO:0005737	cytoplasm
gene=dnaB_2	GO:0032042	mitochondrial DNA metabolic process
gene=dnaB_2	GO:0016787	hydrolase activity
gene=dnaB_2	GO:0003724	RNA helicase activity
gene=dnaB_2	GO:0005759	mitochondrial matrix
gene=dnaB_2	GO:0005739	mitochondrion
gene=dnaB_2	GO:0005524	ATP binding
gene=cca_2	GO:0000049	tRNA binding
gene=cca_2	GO:0004112	cyclic-nucleotide phosphodiesterase activity
gene=cca_2	GO:0001680	tRNA 3'-terminal CCA addition
gene=cca_2	GO:0042245	RNA repair
gene=cca_2	GO:0052927	CTP:tRNA cytidylyltransferase activity
gene=cca_2	GO:0000287	magnesium ion binding
gene=cca_2	GO:0016791	phosphatase activity
gene=cca_2	GO:0052929	ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity
gene=cca_2	GO:0005524	ATP binding
gene=cca_2	GO:0016437	tRNA cytidylyltransferase activity
gene=cca_2	GO:0052928	CTP:3'-cytidine-tRNA cytidylyltransferase activity
gene=speH	GO:0005829	cytosol
gene=speH	GO:0006557	S-adenosylmethioninamine biosynthetic process
gene=speH	GO:0008295	spermidine biosynthetic process
gene=speH	GO:0004014	adenosylmethionine decarboxylase activity
gene=queC_1	GO:0005524	ATP binding
gene=queC_1	GO:0016879	ligase activity, forming carbon-nitrogen bonds
gene=queC_1	GO:0008616	queuosine biosynthetic process
gene=queC_1	GO:0008270	zinc ion binding
gene=dinG	GO:0006310	DNA recombination
gene=dinG	GO:0016887	ATP hydrolysis activity
gene=dinG	GO:0003678	DNA helicase activity
gene=dinG	GO:0003677	DNA binding
gene=dinG	GO:0005524	ATP binding
gene=dinG	GO:0006281	DNA repair
gene=lytG	GO:0008152	metabolic process
gene=lytG	GO:0005576	extracellular region
gene=lytG	GO:0004040	amidase activity
gene=lytG	GO:0016798	hydrolase activity, acting on glycosyl bonds
gene=lytG	GO:0071555	cell wall organization
gene=ribD	GO:0016787	hydrolase activity
gene=ribD	GO:0008270	zinc ion binding
gene=cysN	GO:0002184	cytoplasmic translational termination
gene=cysN	GO:0006412	translation
gene=cysN	GO:0003924	GTPase activity
gene=cysN	GO:0003747	translation release factor activity
gene=cysN	GO:0005829	cytosol
gene=cysN	GO:0005525	GTP binding
gene=cysN	GO:0018444	translation release factor complex
gene=queC	GO:0005524	ATP binding
gene=queC	GO:0016879	ligase activity, forming carbon-nitrogen bonds
gene=queC	GO:0008616	queuosine biosynthetic process
gene=queC	GO:0008270	zinc ion binding
gene=eccB5	GO:0016021	integral component of membrane
gene=eccB5	GO:0005524	ATP binding
gene=eccB5	GO:0016787	hydrolase activity
gene=eccB5	GO:0005886	plasma membrane
gene=ydjP	GO:0004601	peroxidase activity
gene=nrnA	GO:0003676	nucleic acid binding
gene=nrnA	GO:0008441	3'(2'),5'-bisphosphate nucleotidase activity
gene=nrnA	GO:0004527	exonuclease activity
gene=envC	GO:0000920	septum digestion after cytokinesis
gene=envC	GO:0004222	metalloendopeptidase activity
gene=envC	GO:0032153	cell division site
gene=envC	GO:0009279	cell outer membrane
gene=tobZ_1	GO:0009058	biosynthetic process
gene=tobZ_1	GO:0016740	transferase activity
gene=tobZ_1	GO:0005737	cytoplasm
gene=pknA	GO:0004674	protein serine/threonine kinase activity
gene=pknA	GO:0006897	endocytosis
gene=pknA	GO:0005634	nucleus
gene=pknA	GO:0048364	root development
gene=pknA	GO:0106310	protein serine kinase activity
gene=pknA	GO:0005737	cytoplasm
gene=pknA	GO:0009409	response to cold
gene=pknA	GO:0009850	auxin metabolic process
gene=pknA	GO:0009741	response to brassinosteroid
gene=pknA	GO:0005524	ATP binding
gene=pknA	GO:0009826	unidimensional cell growth
gene=pknA	GO:0018105	peptidyl-serine phosphorylation
gene=pknA	GO:0040008	regulation of growth
gene=pknA	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=fosB2	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups
gene=fosB2	GO:0046677	response to antibiotic
gene=fosB2	GO:0000287	magnesium ion binding
gene=fosB2	GO:0005737	cytoplasm
gene=rusA	GO:0006281	DNA repair
gene=rusA	GO:0008821	crossover junction endodeoxyribonuclease activity
gene=rusA	GO:0006310	DNA recombination
gene=rusA	GO:0000287	magnesium ion binding
gene=dnaX	GO:0003689	DNA clamp loader activity
gene=dnaX	GO:0016887	ATP hydrolysis activity
gene=dnaX	GO:0006260	DNA replication
gene=dnaX	GO:0003677	DNA binding
gene=dnaX	GO:0005663	DNA replication factor C complex
gene=dnaX	GO:0005524	ATP binding
gene=scn	GO:0005576	extracellular region
gene=vsr	GO:0004519	endonuclease activity
gene=vsr	GO:0009307	DNA restriction-modification system
gene=vsr	GO:0006298	mismatch repair
gene=pknB	GO:0019069	viral capsid assembly
gene=pknB	GO:0004674	protein serine/threonine kinase activity
gene=pknB	GO:0106310	protein serine kinase activity
gene=pknB	GO:0005524	ATP binding
gene=pknB	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=glgA	GO:0016757	glycosyltransferase activity
gene=sak	GO:0005576	extracellular region
gene=sak	GO:0031639	plasminogen activation
protein=Epi-isozizaene	GO:0005506	iron ion binding
protein=Epi-isozizaene	GO:0016705	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
protein=Epi-isozizaene	GO:0016020	membrane
protein=Epi-isozizaene	GO:0032259	methylation
protein=Epi-isozizaene	GO:0004497	monooxygenase activity
protein=Epi-isozizaene	GO:0008168	methyltransferase activity
protein=Epi-isozizaene	GO:0020037	heme binding
protein=Epi-isozizaene	GO:0016126	sterol biosynthetic process
gene=draG	GO:0046872	metal ion binding
gene=draG	GO:0003875	ADP-ribosylarginine hydrolase activity
gene=repX	GO:0030541	plasmid partitioning
gene=repX	GO:0003924	GTPase activity
gene=repX	GO:0030430	host cell cytoplasm
gene=repX	GO:0007017	microtubule-based process
gene=repX	GO:0005525	GTP binding
gene=repX	GO:0005874	microtubule
gene=maa	GO:0008374	O-acyltransferase activity
gene=maa	GO:0005829	cytosol
gene=maa	GO:0016407	acetyltransferase activity
gene=nrdZ_2	GO:0004519	endonuclease activity
gene=nrdZ_2	GO:0006260	DNA replication
gene=nrdZ_2	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdZ_2	GO:0016539	intein-mediated protein splicing
gene=prs2	GO:0000287	magnesium ion binding
gene=prs2	GO:0005737	cytoplasm
gene=prs2	GO:0004749	ribose phosphate diphosphokinase activity
gene=prs2	GO:0016301	kinase activity
gene=prs2	GO:0009156	ribonucleoside monophosphate biosynthetic process
gene=prs2	GO:0009116	nucleoside metabolic process
gene=prs2	GO:0005524	ATP binding
gene=prs2	GO:0009165	nucleotide biosynthetic process
gene=prs2	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
gene=gyrB	GO:0007076	mitotic chromosome condensation
gene=gyrB	GO:0003729	mRNA binding
gene=gyrB	GO:0005737	cytoplasm
gene=gyrB	GO:0051310	metaphase plate congression
gene=gyrB	GO:0006265	DNA topological change
gene=gyrB	GO:0005524	ATP binding
gene=gyrB	GO:0000070	mitotic sister chromatid segregation
gene=gyrB	GO:0000819	sister chromatid segregation
gene=gyrB	GO:0003696	satellite DNA binding
gene=gyrB	GO:0051321	meiotic cell cycle
gene=gyrB	GO:0000182	rDNA binding
gene=gyrB	GO:0007060	male meiosis chromosome segregation
gene=gyrB	GO:0046872	metal ion binding
gene=gyrB	GO:0030261	chromosome condensation
gene=gyrB	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
gene=gyrB	GO:0005694	chromosome
gene=gyrB	GO:0031507	heterochromatin assembly
gene=gyrB	GO:0000278	mitotic cell cycle
gene=gyrB	GO:0008623	CHRAC
gene=gyrB	GO:0003682	chromatin binding
gene=gyrB	GO:0000400	four-way junction DNA binding
gene=gyrB	GO:0000712	resolution of meiotic recombination intermediates
gene=gyrB	GO:0005634	nucleus
gene=gyrB	GO:0003677	DNA binding
gene=pknJ	GO:0004674	protein serine/threonine kinase activity
gene=pknJ	GO:0005524	ATP binding
gene=pknJ	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=pknJ	GO:0106310	protein serine kinase activity
gene=entE	GO:0046872	metal ion binding
gene=entE	GO:0005576	extracellular region
gene=entE	GO:0090729	toxin activity
gene=nrdA	GO:0005971	ribonucleoside-diphosphate reductase complex
gene=nrdA	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
gene=nrdA	GO:0009263	deoxyribonucleotide biosynthetic process
gene=nrdA	GO:0006260	DNA replication
gene=nrdA	GO:0005524	ATP binding
gene=csrA	GO:0048027	mRNA 5'-UTR binding
gene=csrA	GO:0005737	cytoplasm
gene=csrA	GO:0045948	positive regulation of translational initiation
gene=csrA	GO:0006109	regulation of carbohydrate metabolic process
gene=csrA	GO:0006402	mRNA catabolic process
gene=csrA	GO:0045947	negative regulation of translational initiation
gene=mepM	GO:0016021	integral component of membrane
gene=mepM	GO:0046872	metal ion binding
gene=mepM	GO:0004222	metalloendopeptidase activity
gene=mepM	GO:0000270	peptidoglycan metabolic process
gene=mepM	GO:0005886	plasma membrane
gene=mepM	GO:0009254	peptidoglycan turnover
gene=mepM	GO:0004175	endopeptidase activity
gene=mepM	GO:0000920	septum digestion after cytokinesis
gene=mepM	GO:0045227	capsule polysaccharide biosynthetic process
gene=mepM	GO:0071555	cell wall organization
gene=atl	GO:0042742	defense response to bacterium
gene=atl	GO:0008745	N-acetylmuramoyl-L-alanine amidase activity
gene=atl	GO:0019835	cytolysis
gene=atl	GO:0009253	peptidoglycan catabolic process
gene=atl	GO:0005576	extracellular region
gene=atl	GO:0071555	cell wall organization
gene=dpnA_2	GO:0008170	N-methyltransferase activity
gene=dpnA_2	GO:0006306	DNA methylation
gene=dpnA_2	GO:0003677	DNA binding
gene=por	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
gene=por	GO:0046029	mannitol dehydrogenase activity
gene=por	GO:0050086	mannitol 2-dehydrogenase activity
gene=por	GO:0019594	mannitol metabolic process
gene=ctxA	GO:0005534	galactose binding
gene=ctxA	GO:0090729	toxin activity
gene=ctxA	GO:0005615	extracellular space
gene=ctxA	GO:0042597	periplasmic space
gene=ctxA	GO:0016757	glycosyltransferase activity
gene=ctxA	GO:1902494	catalytic complex
gene=ctxA	GO:0042531	positive regulation of tyrosine phosphorylation of STAT protein
gene=yheS	GO:0042788	polysomal ribosome
gene=yheS	GO:0062040	fungal biofilm matrix
gene=yheS	GO:0016887	ATP hydrolysis activity
gene=yheS	GO:0010494	cytoplasmic stress granule
gene=yheS	GO:0002181	cytoplasmic translation
gene=yheS	GO:0003746	translation elongation factor activity
gene=yheS	GO:0006469	negative regulation of protein kinase activity
gene=yheS	GO:0022626	cytosolic ribosome
gene=yheS	GO:0006415	translational termination
gene=yheS	GO:0005524	ATP binding
gene=lon1	GO:0030163	protein catabolic process
gene=lon1	GO:0004176	ATP-dependent peptidase activity
gene=lon1	GO:0016887	ATP hydrolysis activity
gene=lon1	GO:0004252	serine-type endopeptidase activity
gene=lon1	GO:0005524	ATP binding
gene=rlmN	GO:0046872	metal ion binding
gene=rlmN	GO:0051539	4 iron, 4 sulfur cluster binding
gene=rlmN	GO:0003824	catalytic activity
gene=ydhD	GO:0008061	chitin binding
gene=ydhD	GO:0000272	polysaccharide catabolic process
gene=ydhD	GO:0030435	sporulation resulting in formation of a cellular spore
gene=ydhD	GO:0031160	spore wall
gene=ydhD	GO:0016798	hydrolase activity, acting on glycosyl bonds
gene=cdtB	GO:0004519	endonuclease activity
gene=cdtB	GO:0005576	extracellular region
gene=cdtB	GO:0090729	toxin activity
gene=clpP	GO:0004252	serine-type endopeptidase activity
gene=clpP	GO:0009570	chloroplast stroma
gene=clpP	GO:0004176	ATP-dependent peptidase activity
gene=glyA2	GO:0035999	tetrahydrofolate interconversion
gene=glyA2	GO:0005737	cytoplasm
gene=glyA2	GO:0004372	glycine hydroxymethyltransferase activity
gene=glyA2	GO:0019264	glycine biosynthetic process from serine
gene=glyA2	GO:0030170	pyridoxal phosphate binding
gene=algC	GO:0009244	lipopolysaccharide core region biosynthetic process
gene=algC	GO:0004615	phosphomannomutase activity
gene=algC	GO:0042121	alginic acid biosynthetic process
gene=algC	GO:0009243	O antigen biosynthetic process
gene=algC	GO:0000287	magnesium ion binding
gene=algC	GO:0004614	phosphoglucomutase activity
gene=algC	GO:0009298	GDP-mannose biosynthetic process
gene=pepD	GO:0046872	metal ion binding
gene=pepD	GO:0008237	metallopeptidase activity
gene=gyrB_1	GO:0046872	metal ion binding
gene=gyrB_1	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
gene=gyrB_1	GO:0006261	DNA-templated DNA replication
gene=gyrB_1	GO:0005694	chromosome
gene=gyrB_1	GO:0005737	cytoplasm
gene=gyrB_1	GO:0006265	DNA topological change
gene=gyrB_1	GO:0003677	DNA binding
gene=gyrB_1	GO:0005524	ATP binding
gene=rebH	GO:0016491	oxidoreductase activity
gene=rebH	GO:0017000	antibiotic biosynthetic process
gene=rebH	GO:0000166	nucleotide binding
gene=nikR	GO:0046872	metal ion binding
gene=nikR	GO:0006355	regulation of transcription, DNA-templated
gene=recD2	GO:0009338	exodeoxyribonuclease V complex
gene=recD2	GO:0006310	DNA recombination
gene=recD2	GO:0016887	ATP hydrolysis activity
gene=recD2	GO:0017116	single-stranded DNA helicase activity
gene=recD2	GO:0043139	5'-3' DNA helicase activity
gene=recD2	GO:0003677	DNA binding
gene=recD2	GO:0005524	ATP binding
gene=prkC_4	GO:0004674	protein serine/threonine kinase activity
gene=prkC_4	GO:0005524	ATP binding
gene=prkC_4	GO:0004712	protein serine/threonine/tyrosine kinase activity
gene=prkC_4	GO:0106310	protein serine kinase activity
gene=wbnI	GO:0016021	integral component of membrane
gene=wbnI	GO:0000139	Golgi membrane
gene=wbnI	GO:0032580	Golgi cisterna membrane
gene=wbnI	GO:0005975	carbohydrate metabolic process
gene=wbnI	GO:0005794	Golgi apparatus
gene=wbnI	GO:0031982	vesicle
gene=wbnI	GO:0004380	glycoprotein-fucosylgalactoside alpha-N-acetylgalactosaminyltransferase activity
gene=wbnI	GO:0003823	antigen binding
gene=wbnI	GO:0005576	extracellular region
gene=wbnI	GO:0016757	glycosyltransferase activity
gene=wbnI	GO:0004381	fucosylgalactoside 3-alpha-galactosyltransferase activity
gene=wbnI	GO:0030259	lipid glycosylation
gene=wbnI	GO:0030145	manganese ion binding
gene=wbnI	GO:0006486	protein glycosylation
gene=wbnI	GO:0000166	nucleotide binding
gene=gyrA_1	GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
gene=gyrA_1	GO:0006261	DNA-templated DNA replication
gene=gyrA_1	GO:0005694	chromosome
gene=gyrA_1	GO:0005737	cytoplasm
gene=gyrA_1	GO:0006265	DNA topological change
gene=gyrA_1	GO:0003677	DNA binding
gene=gyrA_1	GO:0005524	ATP binding
gene=nfuA	GO:0005506	iron ion binding
gene=nfuA	GO:0009658	chloroplast organization
gene=nfuA	GO:0005198	structural molecule activity
gene=nfuA	GO:0016226	iron-sulfur cluster assembly
gene=nfuA	GO:0009570	chloroplast stroma
gene=nfuA	GO:0051537	2 iron, 2 sulfur cluster binding
gene=nfuA	GO:0051539	4 iron, 4 sulfur cluster binding
gene=nfuA	GO:0097428	protein maturation by iron-sulfur cluster transfer
gene=nfuA	GO:0009507	chloroplast
gene=nfuA	GO:0005739	mitochondrion
gene=oatA	GO:0016021	integral component of membrane
gene=oatA	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups
gene=oatA	GO:0005886	plasma membrane
gene=oatA	GO:0030244	cellulose biosynthetic process
gene=yhdJ	GO:0009307	DNA restriction-modification system
gene=yhdJ	GO:0008170	N-methyltransferase activity
gene=yhdJ	GO:0015667	site-specific DNA-methyltransferase (cytosine-N4-specific) activity
gene=yhdJ	GO:0003677	DNA binding
gene=cmk	GO:0005524	ATP binding
gene=ankX	GO:0019730	antimicrobial humoral response
gene=ankX	GO:0030198	extracellular matrix organization
gene=ankX	GO:0042742	defense response to bacterium
gene=ankX	GO:0042088	T-helper 1 type immune response
gene=ankX	GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
gene=ankX	GO:0032733	positive regulation of interleukin-10 production
gene=ankX	GO:0005737	cytoplasm
gene=ankX	GO:0042826	histone deacetylase binding
gene=ankX	GO:0045944	positive regulation of transcription by RNA polymerase II
gene=ankX	GO:0003713	transcription coactivator activity
gene=ankX	GO:0003714	transcription corepressor activity
gene=ankX	GO:0048471	perinuclear region of cytoplasm
gene=ankX	GO:0030674	protein-macromolecule adaptor activity
gene=ankX	GO:0002467	germinal center formation
gene=ankX	GO:0032717	negative regulation of interleukin-8 production
gene=ankX	GO:0006974	cellular response to DNA damage stimulus
gene=ankX	GO:0007249	I-kappaB kinase/NF-kappaB signaling
gene=ankX	GO:0043231	intracellular membrane-bounded organelle
gene=ankX	GO:0051101	regulation of DNA binding
gene=ankX	GO:0002268	follicular dendritic cell differentiation
gene=ankX	GO:0042981	regulation of apoptotic process
gene=ankX	GO:0048536	spleen development
gene=ankX	GO:0045064	T-helper 2 cell differentiation
gene=ankX	GO:1901222	regulation of NIK/NF-kappaB signaling
gene=ankX	GO:0030496	midbody
gene=ankX	GO:0005654	nucleoplasm
gene=ankX	GO:0042832	defense response to protozoan
gene=ankX	GO:0032996	Bcl3-Bcl10 complex
gene=ankX	GO:0045727	positive regulation of translation
gene=ankX	GO:0009615	response to virus
gene=ankX	GO:0032991	protein-containing complex
gene=ankX	GO:0032729	positive regulation of interferon-gamma production
gene=ankX	GO:0032088	negative regulation of NF-kappaB transcription factor activity
