gene_id	ko	pathway
gene=recJ	ko03410	Base excision repair [PATH:ko03410]
gene=recJ	ko03430	Mismatch repair [PATH:ko03430]
gene=recJ	ko03440	Homologous recombination [PATH:ko03440]
gene=recJ	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=queD	ko00790	Folate biosynthesis [PATH:ko00790]
gene=queD	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=gcvA	ko02026	Biofilm formation - Escherichia coli [PATH:ko02026]
gene=gcvA	ko03000	Transcription factors [BR:ko03000]
gene=gerKI	ko00053	Ascorbate and aldarate metabolism [PATH:ko00053]
gene=gerKI	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=recU	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=Small,	99978	Cell growth
protein=putative	99976	Replication and repair
protein=Bifunctional	ko00199	Cytochrome P450 [BR:ko00199]
gene=ykfC	ko01002	Peptidases and inhibitors [BR:ko01002]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=fcl_1	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=fcl_1	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=fcl_1	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=ahcY	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=ahcY	ko01009	Protein phosphatases and associated proteins [BR:ko01009]
gene=ahcY	ko04147	Exosome [BR:ko04147]
gene=folA	ko00790	Folate biosynthesis [PATH:ko00790]
gene=folA	ko00670	One carbon pool by folate [PATH:ko00670]
gene=folA	ko01523	Antifolate resistance [PATH:ko01523]
gene=sglT	99977	Transport
gene=nrdD_3	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdD_3	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=ssb	ko03030	DNA replication [PATH:ko03030]
gene=ssb	ko03430	Mismatch repair [PATH:ko03430]
gene=ssb	ko03440	Homologous recombination [PATH:ko03440]
gene=ssb	ko03032	DNA replication proteins [BR:ko03032]
gene=ssb	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ssb	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=pkn5	ko04360	Axon guidance [PATH:ko04360]
gene=pkn5	ko05010	Alzheimer disease [PATH:ko05010]
gene=pkn5	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=pkn5	ko05030	Cocaine addiction [PATH:ko05030]
gene=pkn5	ko01001	Protein kinases [BR:ko01001]
gene=pkn5	ko04131	Membrane trafficking [BR:ko04131]
gene=panB	ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]
protein=UDP-glucose	ko00052	Galactose metabolism [PATH:ko00052]
protein=UDP-glucose	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
protein=UDP-glucose	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=cwlA	99980	Enzymes with EC numbers
gene=orn	ko03008	Ribosome biogenesis in eukaryotes [PATH:ko03008]
gene=orn	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=orn	ko03009	Ribosome biogenesis [BR:ko03009]
gene=rnd_1	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=kdsA	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=kdsA	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=nudF	ko00230	Purine metabolism [PATH:ko00230]
gene=nudF	ko00740	Riboflavin metabolism [PATH:ko00740]
gene=yheH	ko02010	ABC transporters [PATH:ko02010]
gene=yheH	ko02000	Transporters [BR:ko02000]
gene=recA	ko03440	Homologous recombination [PATH:ko03440]
gene=recA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=nrdE	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdE	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdE	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=yosS	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=yosS	ko00983	Drug metabolism - other enzymes [PATH:ko00983]
gene=yosS	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=phrB_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=abrB	ko03000	Transcription factors [BR:ko03000]
gene=polB	ko03030	DNA replication [PATH:ko03030]
gene=polB	ko03410	Base excision repair [PATH:ko03410]
gene=polB	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=polB	ko03430	Mismatch repair [PATH:ko03430]
gene=polB	ko03440	Homologous recombination [PATH:ko03440]
gene=polB	ko03032	DNA replication proteins [BR:ko03032]
gene=polB	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=polX	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=hhaIM	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=hhaIM	ko05206	MicroRNAs in cancer [PATH:ko05206]
gene=hhaIM	ko03000	Transcription factors [BR:ko03000]
gene=hhaIM	ko03032	DNA replication proteins [BR:ko03032]
gene=hhaIM	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=hhaIM	ko02048	Prokaryotic defense system [BR:ko02048]
gene=glnH	ko02010	ABC transporters [PATH:ko02010]
gene=glnH	ko02000	Transporters [BR:ko02000]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
protein=Iron-sulfur	ko03036	Chromosome and associated proteins [BR:ko03036]
protein=Iron-sulfur	ko04812	Cytoskeleton proteins [BR:ko04812]
gene=purH_1	ko00230	Purine metabolism [PATH:ko00230]
gene=purH_1	ko00670	One carbon pool by folate [PATH:ko00670]
gene=purH_1	ko01523	Antifolate resistance [PATH:ko01523]
gene=purH_1	ko04147	Exosome [BR:ko04147]
protein=putative	99976	Replication and repair
gene=fic	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=ppdK	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=ppdK	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=ppdK	ko00710	Carbon fixation in photosynthetic organisms [PATH:ko00710]
gene=ppdK	ko00720	Carbon fixation pathways in prokaryotes [PATH:ko00720]
gene=whiB1	ko03000	Transcription factors [BR:ko03000]
gene=gyrA_2	ko03032	DNA replication proteins [BR:ko03032]
gene=gyrA_2	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ecoRIIR	ko02048	Prokaryotic defense system [BR:ko02048]
gene=dnaX_3	ko03030	DNA replication [PATH:ko03030]
gene=dnaX_3	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=dnaX_3	ko03430	Mismatch repair [PATH:ko03430]
gene=dnaX_3	ko03032	DNA replication proteins [BR:ko03032]
gene=dnaX_3	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=dnaX_3	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=helY	ko03018	RNA degradation [PATH:ko03018]
gene=helY	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=helY	ko03041	Spliceosome [BR:ko03041]
gene=helY	ko03009	Ribosome biogenesis [BR:ko03009]
gene=helY	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=nrdD_2	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdD_2	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=dinB	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=clpC1	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=sftA	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=mycP1	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=mycP1	ko03110	Chaperones and folding catalysts [BR:ko03110]
protein=S-(hydroxymethyl)mycothiol	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
protein=S-(hydroxymethyl)mycothiol	ko00620	Pyruvate metabolism [PATH:ko00620]
protein=S-(hydroxymethyl)mycothiol	ko00680	Methane metabolism [PATH:ko00680]
protein=S-(hydroxymethyl)mycothiol	ko00071	Fatty acid degradation [PATH:ko00071]
protein=S-(hydroxymethyl)mycothiol	ko00350	Tyrosine metabolism [PATH:ko00350]
protein=S-(hydroxymethyl)mycothiol	ko00830	Retinol metabolism [PATH:ko00830]
protein=S-(hydroxymethyl)mycothiol	ko00625	Chloroalkane and chloroalkene degradation [PATH:ko00625]
protein=S-(hydroxymethyl)mycothiol	ko00626	Naphthalene degradation [PATH:ko00626]
protein=S-(hydroxymethyl)mycothiol	ko00980	Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
protein=S-(hydroxymethyl)mycothiol	ko00982	Drug metabolism - cytochrome P450 [PATH:ko00982]
protein=S-(hydroxymethyl)mycothiol	ko04936	Alcoholic liver disease [PATH:ko04936]
gene=dnaQ	ko03030	DNA replication [PATH:ko03030]
gene=dnaQ	ko03430	Mismatch repair [PATH:ko03430]
gene=dnaQ	ko03440	Homologous recombination [PATH:ko03440]
gene=dnaQ	ko03032	DNA replication proteins [BR:ko03032]
gene=dnaQ	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=putative	99976	Replication and repair
gene=thyA	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=thyA	ko00670	One carbon pool by folate [PATH:ko00670]
gene=thyA	ko01523	Antifolate resistance [PATH:ko01523]
gene=pphA	99980	Enzymes with EC numbers
gene=glnII	ko00630	Glyoxylate and dicarboxylate metabolism [PATH:ko00630]
gene=glnII	ko00910	Nitrogen metabolism [PATH:ko00910]
gene=glnII	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
gene=glnII	ko00220	Arginine biosynthesis [PATH:ko00220]
gene=glnII	ko02020	Two-component system [PATH:ko02020]
gene=glnII	ko04217	Necroptosis [PATH:ko04217]
gene=glnII	ko04724	Glutamatergic synapse [PATH:ko04724]
gene=glnII	ko04727	GABAergic synapse [PATH:ko04727]
gene=glnII	ko04147	Exosome [BR:ko04147]
gene=pomZ	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=pomZ	ko04812	Cytoskeleton proteins [BR:ko04812]
gene=aroF	ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]
gene=aroF	ko02024	Quorum sensing [PATH:ko02024]
gene=iraM	99995	Signaling proteins
gene=psaB	ko00195	Photosynthesis [PATH:ko00195]
gene=psaB	ko00194	Photosynthesis proteins [BR:ko00194]
gene=infB	ko03012	Translation factors [BR:ko03012]
gene=spoVS	99978	Cell growth
gene=nrdI	99984	Nucleotide metabolism
gene=nadR_2	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
gene=nadR_2	ko03000	Transcription factors [BR:ko03000]
gene=def	99980	Enzymes with EC numbers
gene=tal	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=hupB	ko03032	DNA replication proteins [BR:ko03032]
gene=hupB	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=hupB	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=ompX	ko02000	Transporters [BR:ko02000]
gene=yihU	ko00650	Butanoate metabolism [PATH:ko00650]
protein=Small,	99978	Cell growth
gene=thiF	ko04120	Ubiquitin mediated proteolysis [PATH:ko04120]
gene=thiF	ko05012	Parkinson disease [PATH:ko05012]
gene=thiF	ko05022	Pathways of neurodegeneration - multiple diseases [PATH:ko05022]
gene=thiF	ko04121	Ubiquitin system [BR:ko04121]
gene=thiF	ko04147	Exosome [BR:ko04147]
protein=Soluble	ko00620	Pyruvate metabolism [PATH:ko00620]
gene=sir2	ko00760	Nicotinate and nicotinamide metabolism [PATH:ko00760]
gene=desA3	99980	Enzymes with EC numbers
gene=dinB1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=outD	ko02044	Secretion system [BR:ko02044]
gene=outD	ko02035	Bacterial motility proteins [BR:ko02035]
gene=nrdA_1	ko00230	Purine metabolism [PATH:ko00230]
gene=nrdA_1	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=nrdA_1	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=whiB	ko03000	Transcription factors [BR:ko03000]
gene=ileS2	ko00970	Aminoacyl-tRNA biosynthesis [PATH:ko00970]
gene=ileS2	ko01007	Amino acid related enzymes [BR:ko01007]
gene=ileS2	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=dnaK_2	ko03018	RNA degradation [PATH:ko03018]
gene=dnaK_2	ko04212	Longevity regulating pathway - worm [PATH:ko04212]
gene=dnaK_2	ko05152	Tuberculosis [PATH:ko05152]
gene=dnaK_2	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=dnaK_2	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=dnaK_2	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=dnaK_2	ko04147	Exosome [BR:ko04147]
gene=gtaB	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=gtaB	ko00052	Galactose metabolism [PATH:ko00052]
gene=gtaB	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=gtaB	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=gtaB	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=pstP	ko01009	Protein phosphatases and associated proteins [BR:ko01009]
gene=yokD	ko01504	Antimicrobial resistance genes [BR:ko01504]
gene=psbD1	ko00195	Photosynthesis [PATH:ko00195]
gene=psbD1	ko00194	Photosynthesis proteins [BR:ko00194]
gene=purB	ko00230	Purine metabolism [PATH:ko00230]
gene=purB	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
gene=ftsH	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=ftsH	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=fcl	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=fcl	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
gene=fcl	ko00541	O-Antigen nucleotide sugar biosynthesis [PATH:ko00541]
gene=pstI	ko04138	Autophagy - yeast [PATH:ko04138]
gene=pstI	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=pstI	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=dck	ko00230	Purine metabolism [PATH:ko00230]
gene=dck	ko00240	Pyrimidine metabolism [PATH:ko00240]
protein=putative	99976	Replication and repair
protein=Modification	ko02048	Prokaryotic defense system [BR:ko02048]
gene=cwlC	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
gene=cwlC	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=cwlC	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=engB	ko04152	AMPK signaling pathway [PATH:ko04152]
gene=engB	ko04131	Membrane trafficking [BR:ko04131]
gene=engB	ko04147	Exosome [BR:ko04147]
gene=engB	ko04031	GTP-binding proteins [BR:ko04031]
gene=ankX_1	ko04624	Toll and Imd signaling pathway [PATH:ko04624]
gene=ankX_1	ko05205	Proteoglycans in cancer [PATH:ko05205]
gene=ankX_1	ko04812	Cytoskeleton proteins [BR:ko04812]
gene=yorK	ko03410	Base excision repair [PATH:ko03410]
gene=yorK	ko03430	Mismatch repair [PATH:ko03430]
gene=yorK	ko03440	Homologous recombination [PATH:ko03440]
gene=yorK	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=rnhB	ko03030	DNA replication [PATH:ko03030]
gene=rnhB	ko03032	DNA replication proteins [BR:ko03032]
gene=ibpA	ko03110	Chaperones and folding catalysts [BR:ko03110]
gene=adrA	99980	Enzymes with EC numbers
gene=yfeX	99980	Enzymes with EC numbers
gene=bacC	ko00998	Biosynthesis of various antibiotics [PATH:ko00998]
gene=rdgC	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=psbA	ko00195	Photosynthesis [PATH:ko00195]
gene=psbA	ko00194	Photosynthesis proteins [BR:ko00194]
gene=folE	ko00790	Folate biosynthesis [PATH:ko00790]
protein=(2Z,6E)-farnesyl	ko00550	Peptidoglycan biosynthesis [PATH:ko00550]
protein=(2Z,6E)-farnesyl	ko00900	Terpenoid backbone biosynthesis [PATH:ko00900]
protein=(2Z,6E)-farnesyl	ko01006	Prenyltransferases [BR:ko01006]
gene=rlmE	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=exoA	ko03410	Base excision repair [PATH:ko03410]
gene=exoA	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=tagD	ko00564	Glycerophospholipid metabolism [PATH:ko00564]
gene=sspC	99978	Cell growth
gene=hddA	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=prkC_1	ko04068	FoxO signaling pathway [PATH:ko04068]
gene=prkC_1	ko04151	PI3K-Akt signaling pathway [PATH:ko04151]
gene=prkC_1	ko04110	Cell cycle [PATH:ko04110]
gene=prkC_1	ko04114	Oocyte meiosis [PATH:ko04114]
gene=prkC_1	ko04115	p53 signaling pathway [PATH:ko04115]
gene=prkC_1	ko04218	Cellular senescence [PATH:ko04218]
gene=prkC_1	ko04914	Progesterone-mediated oocyte maturation [PATH:ko04914]
gene=prkC_1	ko05200	Pathways in cancer [PATH:ko05200]
gene=prkC_1	ko05203	Viral carcinogenesis [PATH:ko05203]
gene=prkC_1	ko05226	Gastric cancer [PATH:ko05226]
gene=prkC_1	ko05215	Prostate cancer [PATH:ko05215]
gene=prkC_1	ko05222	Small cell lung cancer [PATH:ko05222]
gene=prkC_1	ko05166	Human T-cell leukemia virus 1 infection [PATH:ko05166]
gene=prkC_1	ko05161	Hepatitis B [PATH:ko05161]
gene=prkC_1	ko05160	Hepatitis C [PATH:ko05160]
gene=prkC_1	ko05162	Measles [PATH:ko05162]
gene=prkC_1	ko05169	Epstein-Barr virus infection [PATH:ko05169]
gene=prkC_1	ko05165	Human papillomavirus infection [PATH:ko05165]
gene=prkC_1	ko04934	Cushing syndrome [PATH:ko04934]
gene=prkC_1	ko01001	Protein kinases [BR:ko01001]
gene=prkC_1	ko03032	DNA replication proteins [BR:ko03032]
gene=prkC_1	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=chuR	99997	Function unknown
gene=yjcD	ko03420	Nucleotide excision repair [PATH:ko03420]
gene=yjcD	ko03430	Mismatch repair [PATH:ko03430]
gene=yjcD	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=rutG	ko02000	Transporters [BR:ko02000]
gene=gmhA1	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=gmhA1	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=pelA_2	ko00040	Pentose and glucuronate interconversions [PATH:ko00040]
gene=pelA_2	ko02024	Quorum sensing [PATH:ko02024]
gene=ltaS2	ko00561	Glycerolipid metabolism [PATH:ko00561]
gene=ltaS2	ko00552	Teichoic acid biosynthesis [PATH:ko00552]
gene=ino1	ko00562	Inositol phosphate metabolism [PATH:ko00562]
gene=ino1	ko00521	Streptomycin biosynthesis [PATH:ko00521]
gene=gghA	ko00500	Starch and sucrose metabolism [PATH:ko00500]
gene=gghA	ko00460	Cyanoamino acid metabolism [PATH:ko00460]
gene=gghA	ko00999	Biosynthesis of various plant secondary metabolites [PATH:ko00999]
gene=cyaA	ko00230	Purine metabolism [PATH:ko00230]
gene=cyaA	ko04113	Meiosis - yeast [PATH:ko04113]
gene=cyaA	ko02025	Biofilm formation - Pseudomonas aeruginosa [PATH:ko02025]
gene=cyaA	ko04213	Longevity regulating pathway - multiple species [PATH:ko04213]
protein=N-carbamoyl-D-amino	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=ilvG	ko00650	Butanoate metabolism [PATH:ko00650]
gene=ilvG	ko00660	C5-Branched dibasic acid metabolism [PATH:ko00660]
gene=ilvG	ko00290	Valine, leucine and isoleucine biosynthesis [PATH:ko00290]
gene=ilvG	ko00770	Pantothenate and CoA biosynthesis [PATH:ko00770]
gene=yjoB_2	ko03029	Mitochondrial biogenesis [BR:ko03029]
gene=amiC	ko01503	Cationic antimicrobial peptide (CAMP) resistance [PATH:ko01503]
gene=amiC	ko01011	Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
gene=amiC	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=parE	ko03032	DNA replication proteins [BR:ko03032]
gene=parE	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=hldD	ko00540	Lipopolysaccharide biosynthesis [PATH:ko00540]
gene=hldD	ko01005	Lipopolysaccharide biosynthesis proteins [BR:ko01005]
gene=rpfB	99986	Glycan metabolism
gene=pepE	ko01002	Peptidases and inhibitors [BR:ko01002]
gene=ydiP_1	ko00270	Cysteine and methionine metabolism [PATH:ko00270]
gene=ydiP_1	ko05206	MicroRNAs in cancer [PATH:ko05206]
gene=ydiP_1	ko03000	Transcription factors [BR:ko03000]
gene=ydiP_1	ko03032	DNA replication proteins [BR:ko03032]
gene=ydiP_1	ko03036	Chromosome and associated proteins [BR:ko03036]
gene=ydiP_1	ko02048	Prokaryotic defense system [BR:ko02048]
gene=ppiA	ko03110	Chaperones and folding catalysts [BR:ko03110]
protein=Flavodoxin	99982	Energy metabolism
gene=ascD	99982	Energy metabolism
gene=chiA	ko00520	Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=pfkA	ko00010	Glycolysis / Gluconeogenesis [PATH:ko00010]
gene=pfkA	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=pfkA	ko00051	Fructose and mannose metabolism [PATH:ko00051]
gene=pfkA	ko00052	Galactose metabolism [PATH:ko00052]
gene=pfkA	ko00680	Methane metabolism [PATH:ko00680]
gene=pfkA	ko03018	RNA degradation [PATH:ko03018]
gene=pfkA	ko04066	HIF-1 signaling pathway [PATH:ko04066]
gene=pfkA	ko04152	AMPK signaling pathway [PATH:ko04152]
gene=pfkA	ko04922	Glucagon signaling pathway [PATH:ko04922]
gene=pfkA	ko04919	Thyroid hormone signaling pathway [PATH:ko04919]
gene=pfkA	ko05230	Central carbon metabolism in cancer [PATH:ko05230]
gene=pfkA	ko01009	Protein phosphatases and associated proteins [BR:ko01009]
gene=pfkA	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=ldc	ko00330	Arginine and proline metabolism [PATH:ko00330]
gene=ldc	ko00480	Glutathione metabolism [PATH:ko00480]
gene=pyrB	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=pyrB	ko00250	Alanine, aspartate and glutamate metabolism [PATH:ko00250]
gene=rnd_2	ko03019	Messenger RNA biogenesis [BR:ko03019]
protein=putative	99976	Replication and repair
gene=gnd	ko00030	Pentose phosphate pathway [PATH:ko00030]
gene=gnd	ko00480	Glutathione metabolism [PATH:ko00480]
gene=esiB_1	ko04141	Protein processing in endoplasmic reticulum [PATH:ko04141]
gene=ubiG_2	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=scoF	99973	Transcription
gene=nanH	ko00600	Sphingolipid metabolism [PATH:ko00600]
gene=nanH	ko00511	Other glycan degradation [PATH:ko00511]
gene=nanH	ko04142	Lysosome [PATH:ko04142]
gene=kptA	ko03016	Transfer RNA biogenesis [BR:ko03016]
gene=cspC	99973	Transcription
gene=proP	ko02000	Transporters [BR:ko02000]
protein=putative	99976	Replication and repair
gene=ung	ko03410	Base excision repair [PATH:ko03410]
gene=ung	ko05340	Primary immunodeficiency [PATH:ko05340]
gene=ung	ko03400	DNA repair and recombination proteins [BR:ko03400]
gene=rtpR	ko00230	Purine metabolism [PATH:ko00230]
gene=rtpR	ko00240	Pyrimidine metabolism [PATH:ko00240]
gene=rtpR	ko03400	DNA repair and recombination proteins [BR:ko03400]
protein=Putative	ko00600	Sphingolipid metabolism [PATH:ko00600]
protein=Putative	ko04071	Sphingolipid signaling pathway [PATH:ko04071]
protein=Putative	ko04138	Autophagy - yeast [PATH:ko04138]
protein=Putative	ko01007	Amino acid related enzymes [BR:ko01007]
gene=acuC	ko04613	Neutrophil extracellular trap formation [PATH:ko04613]
gene=acuC	ko05203	Viral carcinogenesis [PATH:ko05203]
gene=acuC	ko05014	Amyotrophic lateral sclerosis [PATH:ko05014]
gene=acuC	ko05034	Alcoholism [PATH:ko05034]
gene=acuC	ko01009	Protein phosphatases and associated proteins [BR:ko01009]
gene=acuC	ko03019	Messenger RNA biogenesis [BR:ko03019]
gene=acuC	ko04131	Membrane trafficking [BR:ko04131]
gene=acuC	ko03036	Chromosome and associated proteins [BR:ko03036]
